gene,chromosome,oe_lof_upper,pLI,mis_z
OR2G6,1,1.761,0.00049951,-1.2128
MMP8,11,1.761,1.0661e-24,-0.61273
SPDYE2B,7,1.761,0.37648,0.28726
PKIA,8,1.761,0.1418,0.78805
OR4F17,19,1.761,0.37614,0.79262
UQCR10,22,1.761,0.14162,-0.68788
PGLYRP4,1,1.761,2.9387e-15,0.0036553
RNF224,9,1.761,0.03998,-0.23376
PRKRIP1,7,1.761,2.2336e-11,0.28544
NPVF,7,1.762,0.00010444,-0.60329
ATPIF1,1,1.763,0.00010367,-0.11876
PKD1L2,16,1.763,2.0902e-05,-3.2375
CNPY4,7,1.764,1.0277e-13,-0.25493
METTL20,12,1.764,4.2985e-09,0.25661
LHB,19,1.764,0.0022475,-0.62255
TOMM7,7,1.764,0.0097668,-0.15261
DLEU2L,1,1.764,0.37476,0.24768
C4orf46,4,1.764,0.039595,-0.23932
WFDC9,20,1.764,0.0097671,0.34957
SCO2,22,1.764,7.5473e-07,-1.612
LY6G6C,6,1.764,0.00049312,0.42927
A3GALT2,1,1.764,1.2823e-10,0.04645
ST20,15,1.764,0.37485,0.036974
RP1-228P16.5,12,1.765,0.039518,1.1525
TRIM73,7,1.765,0.00010272,0.61068
SNTN,3,1.765,0.00010257,0.13182
C1orf194,1,1.765,3.9833e-06,0.96102
KRTAP29-1,17,1.765,4.2651e-09,1.422
CLNK,4,1.766,1.7251000000000001e-29,-0.56017
PGAM2,7,1.766,1.3574e-07,-0.66746
COMMD8,4,1.766,7.3184e-10,0.042153
LPAR4,X,1.766,0.0022346,0.93864
ZNF443,19,1.766,0.00048827,-1.3437
C1orf68,1,1.766,1.3581e-07,0.70452
LSM3,3,1.766,3.9529e-06,0.39742
TYW1B,7,1.766,5.4289e-20,-0.38514
BPIFA3,20,1.767,5.9419e-13,-0.45464
RP11-849H4.2,11,1.767,2.4042e-08,1.213
OR2W3,1,1.767,0.00010132,-0.6584
CDC42EP2,11,1.767,0.039267,0.52233
LSMEM2,3,1.767,7.3629e-07,0.039095
CTXN3,5,1.767,0.13992,0.19514
MPV17L,16,1.767,7.3866e-07,0.44579
AL031590.1,22,1.767,0.37335,-0.75473
AC018867.2,2,1.768,0.37315,0.64045
C19orf69,19,1.768,0.039196,0.56432
HNRNPCL1,1,1.768,0.37278,-1.3766
TNFRSF6B,20,1.769,3.874e-06,-1.2953
TEDDM1,1,1.769,0.0022029,-0.36457
C8orf22,8,1.769,0.00010013,-0.31802
LGALS16,19,1.769,0.00010017,0.16332
MTNR1A,4,1.769,7.2327e-07,0.091894
CLPS,6,1.77,0.0095685,0.3849
CYSLTR2,13,1.77,9.9817e-05,0.1172
METTL23,17,1.77,1.3147e-07,-0.97313
MRP63,13,1.77,0.13887,-0.49707
C22orf39,22,1.77,1.9976e-05,-0.20438
SPRR4,1,1.77,0.038928,-1.106
AURKAIP1,1,1.77,9.9678e-05,-0.029124
OGFOD2,12,1.77,3.437e-12,-1.1612
OR4K5,14,1.771,9.9425e-05,-1.845
HOGA1,10,1.771,1.5812e-14,-0.2785
C9orf47,9,1.771,9.9199e-05,-0.35416
SPINK13,5,1.771,0.00047605,-0.2163
LAMTOR5,1,1.771,3.8329e-06,-0.90566
KCTD14,11,1.771,0.002183,0.081538
FBXO17,19,1.771,5.6825e-13,0.21423
AMH,19,1.771,3.3974e-12,-0.88085
NDUFA13,19,1.772,3.8049e-06,-0.90394
NIT2,3,1.772,1.1471e-17,0.40061
ACSF3,16,1.772,2.3246e-26,-1.3005
C22orf26,22,1.772,0.038713,0.29639
OR1Q1,9,1.772,0.00047324,0.15298
GZMH,14,1.773,1.2818e-07,-0.59581
SIRT4,12,1.773,6.8625e-10,1.0143
ZNF728,19,1.773,0.0004707,-0.13675
PCP4,21,1.773,0.0021696,0.61304
FAM26F,6,1.773,0.009461,0.1917
REG3G,2,1.773,1.2831e-07,-0.92873
C10orf131,10,1.774,3.744e-06,0.41589
S100A8,1,1.774,0.13761,0.040126
MAGEB16,X,1.774,0.37021,0.57724
RP11-1085N6.3,14,1.774,0.37027,0.1439
RIPPLY1,X,1.774,0.0094433,0.11192
PDHA2,4,1.774,3.9282e-09,-0.26041
C22orf43,22,1.775,2.9283000000000003e-19,-0.062925
TNFAIP8L2,1,1.775,0.038364,0.89533
C19orf35,19,1.775,0.0021505,0.85742
RP11-712L6.5,11,1.775,0.36961,0.1149
TAS2R3,7,1.775,0.00046636,-0.42148
RP11-187E13.1,14,1.776,0.13718,0.55366
RP11-321F6.1,15,1.776,0.0093616,0.99888
C19orf45,19,1.776,1.0898e-17,0.47654
BOLA1,1,1.777,0.03816,0.51191
CLDND2,19,1.777,3.661e-06,0.40758
ORAI1,12,1.777,1.9068e-05,0.61882
TCTA,3,1.777,0.00046337,0.075983
AC136604.1,5,1.777,0.36879,-0.055934
REP15,12,1.777,1.9073e-05,0.43938
MIOX,22,1.777,1.0702e-17,-0.49078
OR2H2,6,1.777,1.9104e-05,0.36531
LRRC19,9,1.777,3.1947e-12,-0.43591
SYT15,10,1.777,2.4168e-15,-0.055516
CCRL2,3,1.777,0.36861,-0.40555
CXorf28,X,1.778,0.13641,-0.12085
NRN1L,16,1.778,9.5233e-05,-0.31492
OR5D18,11,1.778,0.00045902,-0.45559
ASB13,10,1.778,6.5212e-10,0.15085
CYP1A1,15,1.778,1.0635e-17,-0.3574
CTB-186H2.3,17,1.778,0.36795,-0.29578
UCN2,3,1.779,0.037947,0.18732
RFNG,17,1.779,3.7851e-09,0.23433
INSL5,1,1.779,0.13604,-0.051916
TEX12,11,1.779,0.00045664,0.29604
KPRP,1,1.78,3.0815e-12,-0.50183
CCDC70,13,1.78,0.0092427,-0.97106
CPO,2,1.78,7.270999999999999e-21,0.47912
COX16,14,1.78,1.8748e-05,0.25408
KRTAP26-1,21,1.78,0.13581,0.17625
AC010336.1,19,1.78,3.5917e-06,0.095686
CCDC115,2,1.78,1.2061e-07,0.10947
AGAP7,10,1.78,0.037798,-1.58
BSND,1,1.78,1.0949e-10,0.066336
OPN1MW,X,1.78,0.037781,0.74686
TNFAIP8L3,15,1.78,1.8707e-05,0.58385
KRTAP10-9,21,1.78,1.8729e-05,-1.7708
OR52L1,11,1.78,1.8725e-05,-0.35001
UPK3A,22,1.781,1.0773e-10,-0.41056
IFITM1,11,1.781,0.13569,0.22502
FRG2,4,1.781,0.36635,0.016326
RP11-571M6.15,12,1.781,1.8659e-05,-0.21525
RP11-10J21.3,8,1.781,0.13543,0.51451
CCL18,17,1.782,0.0091743,0.16567
KIR3DL1,19,1.782,8.3578e-14,-1.6207
FGF3,11,1.782,9.3139e-05,-0.11838
MRAP,21,1.782,0.002081,-0.074701
TNP1,2,1.782,0.037552,-0.048632
TNP2,16,1.782,0.0091467,-0.54383
NPBWR2,20,1.783,9.2479e-05,0.56214
POP7,7,1.783,0.037473,0.45749
OR9G1,11,1.783,0.00044763,-1.6448
ZNF594,17,1.783,9.2635e-05,-2.5017
MGMT,10,1.783,1.1756e-07,-0.62323
ZNF556,19,1.783,9.248e-05,-0.77563
TLDC1,16,1.784,9.7663e-18,-3.827
C8orf12,8,1.784,0.037394,-1.269
SCN4B,11,1.784,6.4529e-07,-0.18188
CCDC179,11,1.784,0.009089,0.39337
ZBED2,3,1.784,0.00044529,-0.098595
C20orf85,20,1.784,1.8292e-05,0.16467
AL049829.1,14,1.784,0.13466,0.6546
MRPL14,6,1.784,9.2387e-05,0.27331
FAM86A,16,1.785,2.1924e-15,-1.9177
KHDC1,6,1.785,6.133e-10,0.14366
HINT3,6,1.785,3.4813e-06,0.59364
PROKR1,2,1.785,1.1631e-07,-0.3405
PROSER2,10,1.785,1.1594e-07,-0.98477
XCL2,1,1.785,0.0090664,-0.32102
ZNF727,7,1.785,0.0020573,0.71846
CYYR1,21,1.785,0.00044425,-0.49166
ZNF844,19,1.785,0.0020558,-0.32191
C22orf42,22,1.785,8.1231e-14,-0.031625
ATP5EP2,13,1.786,0.36391,0.23388
KB-1507C5.2,8,1.786,0.3643,-0.54435
PLA2G2D,1,1.786,1.8079e-05,-0.40604
FCRL6,1,1.786,2.7809e-23,-1.5532
HTR5A-AS1,7,1.786,9.1314e-05,0.30188
ZCCHC16,X,1.786,3.4473e-06,-0.52864
HCST,19,1.786,0.0020464,0.48266
AC103809.2,17,1.786,0.037079,-0.19986
C7orf50,7,1.787,3.4242e-06,-0.68649
MS4A12,11,1.787,3.4953e-09,-0.11896
PGLYRP1,19,1.787,1.7919e-05,0.53037
C5orf28,5,1.787,1.1396e-07,0.035829
LYZ,12,1.787,3.4114e-06,0.73158
DAND5,19,1.787,0.0020422,-0.35647
AP5S1,20,1.787,9.0339e-05,-0.61541
UCP1,4,1.788,1.6903e-11,0.22231
FAM109B,22,1.788,3.3928e-06,0.82487
ZNF479,7,1.788,9.0123e-05,-1.1654
ZSCAN5D,19,1.788,6.2931e-07,-0.65588
APOL3,22,1.788,0.00043634,-0.04142
RP6-24A23.6,X,1.788,0.36317,-0.0086822
CCDC78,16,1.788,2.969e-31,-0.85986
SULT1A3,16,1.789,0.36251,0.70088
NMBR,6,1.789,1.9761e-08,-0.80094
ANKRD20A1,9,1.789,3.3618e-06,-0.1293
LYZL2,10,1.789,1.1221e-07,-0.77149
C2orf53,2,1.79,6.1868e-07,0.75808
AQP12B,2,1.79,0.0020112,-1.4673
SMPDL3A,6,1.79,6.2787999999999994e-21,0.15473
ATP5E,20,1.79,0.0088748,-0.17314
SMIM5,17,1.79,0.13265,0.188
LEMD1,1,1.79,3.3433e-06,0.036296
CTD-2014B16.3,14,1.791,0.036562,0.43992
ZNF586,19,1.791,0.036539,0.2013
GTSF1L,20,1.791,0.0019965,0.085217
RETN,19,1.791,0.036545,0.12081
CDNF,10,1.791,6.1335e-07,0.28959
OR2A5,7,1.791,1.7421e-05,-0.21542
ADIRF,10,1.791,0.036481,-0.046164
C12orf23,12,1.791,0.0088522,1.2596
GAL3ST3,11,1.792,1.9296e-08,0.77445
TMEM155,4,1.792,0.036443,0.073525
SFTA2,6,1.792,0.036441,0.30845
AC111200.1,2,1.792,0.36087,0.39336
B3GNT9,16,1.792,1.7363e-05,1.0884
MPV17,2,1.792,9.6582e-11,0.23739
TREM2,6,1.793,3.2892e-09,0.24468
ECSCR,5,1.793,0.00042521,0.77461
TMEM167A,5,1.793,0.00042515,0.41084
NAT2,8,1.793,3.2744e-06,-1.3814
HRK,12,1.793,0.36033,0.70443
WFDC10B,20,1.793,0.036238,0.16225
CGB1,19,1.793,0.036312,-0.85903
CAPS,19,1.793,1.7206e-05,-0.49108
CDCP2,1,1.794,9.4718e-11,0.020084
PRM3,16,1.794,0.35959,0.043314
PDGFRL,8,1.795,1.1787e-14,-2.0006
RNASE10,14,1.795,0.0019671,-0.64614
ENPP7,17,1.795,1.1797e-14,-0.47792
TPRX1,19,1.795,0.35947,-0.33679
RNF181,2,1.795,3.239e-09,0.48313
B3GNTL1,17,1.795,4.0733e-28,-0.016602
C17orf100,17,1.795,0.1311,0.55332
C3orf52,3,1.795,8.6244e-05,0.85523
RDH14,2,1.795,1.7034e-05,-0.81673
ANKRD66,6,1.795,1.6946e-05,0.95408
C8orf4,8,1.796,0.0086883,0.15122
AGAP10,10,1.796,0.35899,0.18259
RP13-672B3.2,12,1.796,0.00041945,0.032185
KRT32,17,1.796,1.3564e-18,-0.61001
FAM174A,5,1.796,8.5833e-05,0.49983
AC006538.4,19,1.796,0.13057,0.24194
NAT14,19,1.796,0.0086687,0.65713
HIST1H4F,6,1.796,0.13072,-1.2513
OR5T3,11,1.796,0.0004197,-1.0573
C9orf169,9,1.797,0.0086287,0.54069
OR10A4,11,1.797,1.6786e-05,-1.1927
TMEM212,3,1.797,1.833e-08,1.037
FAM72C,1,1.797,0.35833,0.49015
LAPTM4B,8,1.797,4.2764e-13,-0.11307
LL22NC03-75H12.2,22,1.797,0.035827,0.1446
PAGE3,X,1.797,0.0086303,-0.64955
KLRK1,12,1.797,6.9812e-14,0.63147
TIMM8B,11,1.797,0.0086544,-0.57835
ZNF665,19,1.797,0.0086277,-0.76348
SLC31A2,9,1.797,8.5199e-05,0.5709
C2CD4D,1,1.798,0.13012,0.55881
CER1,9,1.798,1.6674e-05,-1.6387
PCDHB7,5,1.798,8.0848e-18,-2.6561
GPR18,13,1.798,5.3465e-10,0.42289
POTED,21,1.798,0.00041359,0.63159
ZNF737,19,1.798,0.00041409,-1.4277
TNFRSF10C,8,1.798,3.1588e-06,0.81923
AP002956.1,11,1.798,0.35763,0.64253
AC064874.1,2,1.799,0.035541,0.44682
COX14,12,1.799,0.3573,-0.059703
PIR,X,1.799,5.3402e-10,-0.39802
OR4N2,14,1.799,0.00041111,-2.188
C10orf67,10,1.799,1.7976e-08,0.26644
MCCD1,6,1.799,0.0019319,-0.38786
INCA1,17,1.799,1.5015e-11,0.22934
GYPB,4,1.8,8.3815e-05,-1.0525
PSG11,19,1.8,4.8498e-17,-3.3381
PRSS58,7,1.801,3.0681e-09,-0.53659
ZNF487,10,1.801,0.035261,1.2374
AAED1,9,1.801,1.0063e-07,0.168
PPP1R27,17,1.801,8.3279e-05,0.25956
G6PC2,2,1.801,2.9565e-16,-0.23744
OR5M1,11,1.801,0.0019124,-0.94903
CTXN2,15,1.802,0.035215,0.97718
OR1B1,9,1.802,1.615e-05,0.043266
OR51T1,11,1.802,1.6162e-05,-0.76102
S100A11,1,1.802,0.0084662,0.30918
RP11-113D6.10,11,1.802,0.035174,0.35585
ACP1,2,1.802,1.7531e-08,-0.24852
OMP,11,1.802,0.00040499,-0.16814
HIST1H3I,6,1.802,0.0084746,0.80727
OR6M1,11,1.802,8.2424e-05,0.16131
ZNHIT3,17,1.803,5.5408e-07,-0.60482
AP001631.10,21,1.803,0.3552,0.11224
ACKR4,3,1.803,2.9962e-09,0.84358
POU5F2,5,1.803,0.00040316,0.40927
RP1-32I10.10,22,1.803,0.12851,0.15793
C7orf33,7,1.803,1.6048e-05,0.079299
AL035588.1,6,1.803,0.35496,0.43845
C3orf14,3,1.804,1.5981e-05,0.3491
CCL22,16,1.804,0.0084014,0.4498
CBR3,21,1.804,3.0158e-06,-0.034549
AC005008.2,7,1.804,3.0161e-06,0.37557
GAGE2C,X,1.804,0.3546,0.75796
TSHB,1,1.805,0.0083588,0.30413
C16orf95,16,1.805,8.4064e-11,-0.22232
SPATC1L,21,1.805,1.7055e-08,0.29125
CLRN1,3,1.805,1.7074e-08,-0.5934
RNASE12,14,1.805,0.0083516,-0.03226
NUDT8,11,1.805,8.0897e-05,0.12594
HIGD1C,12,1.806,0.00039609,0.027049
S100A14,1,1.806,0.0018638,-0.22286
SLC10A5,8,1.806,9.696e-08,-0.15406
PSMG4,6,1.806,0.0018651,0.95431
ZNF587B,19,1.806,3.8024e-13,-0.45382
C6orf99,6,1.806,0.12728,0.42181
KRTAP21-1,21,1.806,0.35324,-0.18744
OR5K3,3,1.806,8.0434e-05,-1.4439
LAGE3,X,1.806,0.12721,0.40929
FAM154B,15,1.806,8.3284e-11,-0.20523
POTEB,15,1.807,0.35277,-0.6679
RP11-315D16.2,15,1.807,0.001858,-0.62659
KLRC2,12,1.807,4.8735e-10,-0.26946
CKLF-CMTM1,16,1.807,0.034621,-0.10074
TMEM258,11,1.807,0.0018504,0.36325
GOLGA8A,15,1.807,0.00039454,0.27344
PRKCDBP,11,1.807,7.9971e-05,-0.329
AL031666.2,20,1.807,0.0018503,0.057128
PDE6H,12,1.807,0.0082921,0.19465
AC011308.1,2,1.807,0.35252,0.11867
RAX2,19,1.807,0.0082874,0.16915
SPANXN4,X,1.807,0.35242,-1.2989
TIMM23B,10,1.808,0.12671,0.53729
NIPSNAP3A,9,1.808,2.2722e-12,-0.29454
STATH,4,1.808,7.9792e-05,-0.30575
AMTN,4,1.808,8.1348e-11,0.38045
C10orf126,10,1.808,0.001847,0.89586
BLOC1S5,6,1.808,2.8546e-09,-0.25009
AC025287.1,16,1.808,0.00039239,0.59806
SDSL,12,1.808,1.3641e-11,-0.074555
OPTC,1,1.809,4.8162e-10,-0.52886
ZNF93,19,1.809,0.00039048,-0.044073
OR51Q1,11,1.809,7.9022e-05,-2.126
CST11,20,1.809,7.8838e-05,-0.39082
JMJD8,16,1.809,6.0633e-14,-1.9248
RDH13,19,1.809,6.0402e-14,-0.58632
RP11-113D6.6,11,1.809,0.00038877,-0.12974
C12orf36,12,1.809,0.03436,-0.26985
C20orf202,20,1.809,0.034298,0.072477
KRTAP10-2,21,1.81,0.35103,-1.0835
HINT1,5,1.81,0.0018235,0.44207
GPR39,2,1.81,2.8069e-09,0.35882
PRAMEF2,1,1.81,4.7446e-10,-3.9468
HAMP,19,1.81,0.0081797,0.1514
TCEAL2,X,1.81,0.35082,0.11532
C19orf40,19,1.811,9.2129e-08,0.1644
SFR1,10,1.811,4.7059e-10,-0.42495
AF165138.7,21,1.811,5.2132e-07,0.15241
TBC1D28,17,1.811,1.6133e-08,-0.28422
SLC22A31,16,1.811,7.91e-11,-0.19011
HSF2BP,21,1.812,2.5257e-16,-0.17153
TMEM223,11,1.812,1.5027e-05,-0.46826
SDHAF2,11,1.812,2.8312e-06,-0.13865
C17orf102,17,1.812,0.0081248,-0.36409
AL354993.1,20,1.812,0.033998,0.39764
TMIE,3,1.812,7.749e-05,0.051488
PABPC1L2A,X,1.812,0.35004,1.0268
ZNF547,19,1.813,0.0080575,0.2279
KRTAP4-6,17,1.813,0.0003795,-1.5507
AC131097.4,2,1.813,0.0080869,0.56647
COMMD5,8,1.813,1.497e-05,0.46524
GINS2,16,1.813,1.5745e-08,-1.3224
C2orf27A,2,1.813,0.3491,0.05102
RSAD2,2,1.813,9.4432e-15,0.17423
AC003002.4,19,1.813,0.0080575,-0.35385
KRTAP5-2,11,1.814,0.0080469,-0.64306
TMEM45B,11,1.814,1.266e-11,-0.251
OR1N2,9,1.814,1.4852e-05,0.13211
TAAR2,6,1.814,7.64e-11,-0.23551
BRI3,7,1.814,0.033766,0.10832
C21orf37,21,1.814,0.033685,0.20784
OR5T2,11,1.814,0.00037811,-2.0785
AC106873.4,7,1.815,0.12431,-0.20594
C1orf185,1,1.815,5.0044e-07,1.0854
FCN1,9,1.815,3.9675e-17,-0.29207
MANBAL,20,1.815,0.033539,0.16338
OTOL1,3,1.815,1.4999e-15,-0.96652
LRRC66,4,1.815,4.5037e-10,-1.2282
DNAJC24,11,1.815,5.0103e-07,0.66038
ZNF616,19,1.815,0.0080095,-0.63824
CCL1,17,1.816,0.0079669,0.25103
CDRT15L2,17,1.816,0.0017737,0.1544
CTD-2600O9.1,16,1.816,0.34754,1.0881
LINC01098,4,1.816,0.00037385,0.042604
PQLC3,2,1.816,4.4278e-10,0.52097
RP11-167N24.6,12,1.816,0.34753,0.5575
RP11-215A19.2,4,1.816,0.1238,0.69339
AC068987.1,12,1.816,0.12376,0.78755
MRPL20,1,1.817,2.7079e-06,-0.82726
C20ORF135,20,1.817,0.12342,0.44293
OR10Q1,11,1.817,7.5216e-05,-0.45033
PLA2G2F,1,1.817,2.7094e-06,-0.2841
C7orf71,7,1.817,0.00037182,1.1851
C14orf182,14,1.817,7.519e-05,0.059866
TRIM49,11,1.817,4.9111e-07,-0.41172
OR4K17,14,1.817,0.0017626,-1.9658
S100A3,1,1.817,0.0079273,-0.072641
RP4-576H24.4,20,1.818,0.0017506,-0.30175
CCL5,17,1.818,0.0017516,0.39748
CFHR2,1,1.818,1.5063e-08,-0.90186
RP11-126K1.2,1,1.818,0.12305,0.47563
C12orf68,12,1.818,0.0017497,-0.036119
C8orf59,8,1.818,0.007898,0.40177
CRYGA,2,1.818,4.3304e-10,-0.65088
TMEM114,16,1.818,0.033213,-0.36001
CITED4,1,1.818,0.34638,0.975
GPR78,4,1.818,2.6834e-06,-1.2529
S100P,4,1.818,0.033257,-0.37804
SSX7,X,1.818,2.6848e-06,-1.9689
AP000708.1,11,1.819,0.1227,0.84303
OR12D3,6,1.819,0.0078534,0.774
IL18BP,11,1.819,1.484e-08,-0.55367
TSPAN19,12,1.819,1.9829e-12,0.11445
RP11-17M16.1,18,1.819,0.34567,-0.46123
ASCL2,11,1.819,0.34557,0.55584
CEA,19,1.819,4.8616e-07,0.068496
CACNG1,17,1.819,1.4908e-08,0.32148
FAM69C,18,1.819,4.8312e-07,-0.042782
PTER,10,1.819,3.2773e-13,-0.64273
COMMD2,3,1.819,2.5421e-09,0.68893
FAM187B,19,1.82,2.512e-09,0.61437
ZNF559,19,1.82,1.4172e-05,-1.0495
C19orf84,19,1.82,0.34514,0.41205
OR1G1,17,1.82,0.00036576,-0.0096671
C16orf98,16,1.82,0.34493,0.527
C1orf162,1,1.82,1.4202e-05,0.26313
SMIM1,1,1.82,0.032962,0.82717
MAGEE2,X,1.82,1.9687e-12,-1.7411
GAGE12H,X,1.82,0.34494,-2.0531
WBP5,X,1.821,0.12214,0.24118
FAM72A,1,1.821,0.032815,0.818
GPR111,6,1.821,2.5133e-24,-0.58938
VCX,X,1.821,0.34444,-2.8068
LSMEM1,7,1.821,0.00036247,-0.20381
STARD4,5,1.822,6.9854e-11,0.66337
TXNL4A,18,1.822,7.2309e-05,2.7696
AC017028.1,2,1.823,0.0077214,0.28518
P2RY11,19,1.823,0.0077062,-1.4733
PET100,19,1.823,0.00035883,0.24199
CHST6,16,1.823,2.4495e-09,-0.89985
RP11-386G21.2,8,1.823,0.34302,0.10278
AL035406.1,1,1.823,0.34347,0.053731
ZFP41,8,1.823,0.00035717,-0.26024
ZFP41,8,1.823,0.00035717,-0.26024
MS4A10,11,1.823,1.136e-11,-0.18714
RP11-1396O13.13,4,1.823,0.0003577,-4.7389
CRYGB,2,1.824,8.1381e-08,-0.45416
C21orf54,21,1.824,0.00035513,0.89064
C14orf142,14,1.824,0.007687,0.30545
NACA2,17,1.824,0.032413,0.0024219
C1orf234,1,1.825,0.0076505,1.0069
CTD-2583A14.10,19,1.825,0.0076389,-0.32296
OR5AS1,11,1.825,0.0016835,-1.1754
AKR1CL1,10,1.825,1.3656e-05,-0.88684
GJB5,1,1.825,1.3704e-05,0.049314
C11orf83,11,1.825,0.032331,0.085309
HIST1H2AE,6,1.825,0.032343,1.2638
CCL3L1,17,1.825,0.12057,0.27162
MT1G,16,1.826,0.032173,-0.79967
MUSTN1,3,1.826,7.0616e-05,-0.20279
C9orf153,9,1.826,0.0076085,0.19587
EIF5AL1,10,1.826,0.34147,0.1104
CLLU1,12,1.826,0.0016736,-0.81543
TMEM218,11,1.826,0.0016754,0.74441
TP53TG3D,16,1.826,0.0075995,-1.3849
CLDN4,7,1.827,6.9789e-05,0.76017
NBPF12,1,1.827,1.2675e-15,-5.433
ZNF519,18,1.827,0.0075723,-0.78039
CIB3,19,1.827,2.3448e-09,0.039299
C19orf82,19,1.827,0.0016695,-0.058902
PET117,20,1.827,0.032067,0.46947
C7orf69,7,1.827,0.0016636,0.046164
UBE2Q2L,15,1.828,0.34005,-0.27687
C1orf233,1,1.828,0.11948,1.4332
GAGE10,X,1.828,0.0016612,-0.92758
CYB5D1,17,1.828,3.9032e-10,0.86321
SULT2A1,19,1.828,1.2523e-15,0.44615
AL162407.1,10,1.828,0.33991,0.64935
SLC34A1,5,1.828,8.9128e-27,-0.47512
BTN2A1,6,1.829,3.3958999999999994e-21,-0.43769
ZNF670,1,1.829,0.00034522,-0.46393
EIF4EBP3,5,1.829,0.00034389,0.093953
CFHR5,1,1.829,2.1117e-32,-0.90324
PRSS48,4,1.829,1.0574e-11,0.6788
TCTE3,6,1.829,2.278e-09,-0.044381
C22orf23,22,1.829,4.6831e-14,0.30643
RP11-770J1.5,11,1.829,0.11927,-0.82119
LCN1,9,1.83,1.3298e-08,-0.76264
OR1J1,9,1.83,6.8342e-05,-0.5521
RP11-219B4.6,8,1.83,0.11869,1.0083
PSMB11,14,1.83,2.4272e-06,0.056034
CTRB1,16,1.83,2.4233e-06,-0.53138
SIGLECL1,19,1.83,7.6919e-08,0.71807
APCS,1,1.83,0.031714,-0.23267
AC013468.1,2,1.83,0.33869,0.43833
CELA2A,1,1.83,1.9736e-16,0.035922
OR2A4,6,1.83,0.11869,0.7967
FAM174B,15,1.83,0.0016376,-0.85223
ASCL4,12,1.831,0.0016311,-1.0409
ZNF28,19,1.831,0.0074328,-1.2297
ZNF576,19,1.831,0.0016326,1.1461
KCNE1L,X,1.831,0.11854,0.40656
HRASLS2,11,1.831,6.7817e-05,0.86779
CD3EAP,19,1.831,0.031626,0.34795
C15orf56,15,1.831,0.031586,0.59513
ZNF530,19,1.831,0.007439,0.11448
AC007956.1,14,1.831,0.0074157,0.037253
PNRC2,1,1.832,0.33763,0.18565
MNDA,1,1.832,3.0917e-17,-0.99354
C1orf204,1,1.832,1.2953e-08,0.59198
SMIM9,X,1.832,0.0073927,0.3591
C16orf91,16,1.832,1.6879e-12,-0.37648
CTD-2210P24.4,11,1.832,0.11792,0.43519
TRIM40,6,1.832,6.1659e-11,0.14651
RP11-463J10.2,14,1.832,0.031374,1.3466
ID4,6,1.833,0.031243,-0.85518
MT1E,16,1.833,0.031344,-0.34475
PGBD4,15,1.833,0.33709,1.4859
AL136218.1,13,1.833,0.00033675,0.10854
AL138815.1,13,1.833,0.11764,-0.41395
AL929472.1,1,1.833,0.33693,0.16541
HIST1H2BJ,6,1.833,0.031259,-1.5489
OR5M11,11,1.833,0.00033488,-0.51287
RNASE9,14,1.833,0.33655,-0.13189
CDKN2B,9,1.833,0.0073369,-0.69508
OR51B6,11,1.833,6.6815e-05,-1.5314
OR13F1,9,1.833,1.2757e-05,-0.36422
LYG2,2,1.833,2.1715e-09,0.39806
VCX3B,X,1.833,0.33685,-1.6366
CARD17,11,1.833,6.6679e-05,-1.7277
MR1,1,1.833,4.9023e-18,-0.3427
RP11-77K12.1,16,1.833,1.2828e-05,-1.1316
C2orf66,2,1.834,0.0073036,0.28389
MMP23B,1,1.834,0.11732,0.53803
C10orf10,10,1.834,0.33608,0.16935
CLDN17,21,1.834,0.00033411,-0.25561
TAF9,5,1.834,4.2231e-07,1.0249
APOL2,22,1.834,0.0073139,-0.72959
SSNA1,9,1.834,0.00033383,-0.60063
PCBD1,10,1.835,0.00033216,0.71581
C1orf63,1,1.835,4.3086e-14,0.14154
C10orf91,10,1.835,0.031044,-0.04996
ARL17B,17,1.835,0.33578,0.91609
NDUFA7,19,1.835,6.6032e-05,-0.24058
CCL4L1,17,1.835,0.33576,0.39664
DGCR6,22,1.835,9.8176e-12,-0.13775
HHLA3,1,1.835,0.0072792,0.19908
MAGIX,X,1.835,6.6022e-05,0.22342
AC112205.1,5,1.835,0.33575,0.47944
ACYP2,2,1.836,6.5331e-05,-0.51232
PSG6,19,1.836,4.8204e-22,-5.1613
OR51F2,11,1.836,4.1263e-07,-0.7359
RNASE7,14,1.837,0.11606,0.43482
C5orf64,5,1.837,0.0071986,-0.14225
COX8A,11,1.837,0.11606,0.15384
MEIG1,10,1.837,0.00032669,-0.22541
CHAC2,2,1.837,2.2869e-06,-1.1832
TREML1,6,1.837,1.5671e-12,0.14148
MC5R,18,1.837,6.513e-05,0.072234
DDTL,22,1.837,0.33439,0.056971
OR4S1,11,1.837,0.0015718,-2.1359
C8orf33,8,1.837,2.0873e-09,-0.44794
OR2T33,1,1.837,0.11612,-0.64648
ANXA8L1,10,1.837,0.33439,0.45119
ECI1,16,1.837,1.5853e-12,-0.42183
RP11-830F9.6,16,1.837,0.33439,1.0601
AC003006.7,19,1.838,0.0071661,-0.082643
PHPT1,9,1.838,6.427e-05,-0.35158
AAMDC,11,1.838,2.2702e-06,-0.12731
ATP2C2,16,1.838,5.024599999999999e-60,-5.5901
C17orf64,17,1.838,1.558e-12,0.68578
LCE2A,1,1.838,0.0071716,-1.0262
